DATE,RESIDENCY,AGE_GROUP,RACE_ETHNICITY,COUNT_1PLUS_CUMULATIVE
10/20/22,NON-NYC,All ages,Asian,161636
10/20/22,NON-NYC,All ages,Black,115704
10/20/22,NON-NYC,All ages,Hispanic/Latino,179054
10/20/22,NON-NYC,All ages,Native American/Alaska Native,3680
10/20/22,NON-NYC,All ages,Other,73135
10/20/22,NON-NYC,All ages,Native Hawaiian/Pacific Islander,1888
10/20/22,NON-NYC,All ages,Multiracial,1393
10/20/22,NON-NYC,All ages,Unknown,79609
10/20/22,NON-NYC,All ages,White,577071
10/20/22,NON-NYC,0-17,Asian,14290
10/20/22,NON-NYC,0-17,Black,7532
10/20/22,NON-NYC,0-17,Hispanic/Latino,15452
10/20/22,NON-NYC,0-17,Native American/Alaska Native,193
10/20/22,NON-NYC,0-17,Other,3869
10/20/22,NON-NYC,0-17,Native Hawaiian/Pacific Islander,110
10/20/22,NON-NYC,0-17,Multiracial,210
10/20/22,NON-NYC,0-17,Unknown,3309
10/20/22,NON-NYC,0-17,White,22789
10/20/22,NON-NYC,18-64,Asian,127434
10/20/22,NON-NYC,18-64,Black,93000
10/20/22,NON-NYC,18-64,Hispanic/Latino,146422
10/20/22,NON-NYC,18-64,Native American/Alaska Native,2622
10/20/22,NON-NYC,18-64,Other,58817
10/20/22,NON-NYC,18-64,Native Hawaiian/Pacific Islander,1521
10/20/22,NON-NYC,18-64,Multiracial,1066
10/20/22,NON-NYC,18-64,Unknown,68190
10/20/22,NON-NYC,18-64,White,410840
10/20/22,NON-NYC,65+,Asian,19912
10/20/22,NON-NYC,65+,Black,15172
10/20/22,NON-NYC,65+,Hispanic/Latino,17180
10/20/22,NON-NYC,65+,Native American/Alaska Native,865
10/20/22,NON-NYC,65+,Other,10449
10/20/22,NON-NYC,65+,Native Hawaiian/Pacific Islander,257
10/20/22,NON-NYC,65+,Multiracial,117
10/20/22,NON-NYC,65+,Unknown,8110
10/20/22,NON-NYC,65+,White,143442
10/20/22,NYC,All ages,Asian,1327703
10/20/22,NYC,All ages,Black,1235971
10/20/22,NYC,All ages,Hispanic/Latino,2056487
10/20/22,NYC,All ages,Native American/Alaska Native,24512
10/20/22,NYC,All ages,Other,428158
10/20/22,NYC,All ages,Native Hawaiian/Pacific Islander,12426
10/20/22,NYC,All ages,Multiracial,10914
10/20/22,NYC,All ages,Unknown,455241
10/20/22,NYC,All ages,White,1874928
10/20/22,NYC,0-17,Asian,182078
10/20/22,NYC,0-17,Black,151543
10/20/22,NYC,0-17,Hispanic/Latino,304969
10/20/22,NYC,0-17,Native American/Alaska Native,2911
